"id","firstName","lastName","phone","city","gender","age","prevCalls","totalTime","product","topic"
"105257891","Malachi","Langworth","(358)","Haifa","Female",25,2,4.239,"internet","join"
"197112626","Odell","Hammes","1-558-788-2661","Jerusalem","Female",98,54,7.54,"internet","join"
"604815548","Ben","Cummings","482.408.8864","Ashkelon","Female",80,222,9.652,"internet","join"
"526944640","Gerry","Berge","(944)","Nahariya","Female",53,54,13.674,"internet","join"
"692569579","Kallie","Kulas","868.912.8557","Ashdod","Male",61,10,40.341,"internet","join"
"482018624","Demetris","Johnson","1-526-272-5085","Tel","Female",85,100,18.278,"internet","complaint"
"81379571","Kelley","Bergnaum","329-508-2405","Ashdod","Female",18,23,20.272,"internet","join"
"219440889","Javier","Streich","926-428-4803","Ashdod","Male",90,200,26.594,"internet","join"
"977855605","Jalon","Bernier","598.963.3446","Tel-Aviv","Male",49,100,42.474,"internet","complaint"
"373023842","Vito","Bernier","(475)","Ashkelon","Male",73,22,46.49,"internet","complaint"
"889961020","Delpha","Considine","391.397.3614","Tel-Aviv","Male",93,400,49.988,"internet","join"
"124345953","Santina","Schumm","(308)","Haifa","Male",67,1,13.014,"internet","join"
"704389793","Sally","Casper","1-972-925-8188","Haifa","Female",108,3,10.964,"internet","join"
"758594763","Sammy","Simonis","1-444-623-0211","Tel","Male",109,2,279.134,"internet","join"
"308962213","Clair","Waelchi","478-236-7307","Ashkelon","Female",27,2,325.8,"internet","join"
