"id","firstName","lastName","phone","city","gender","age","prevCalls","totalTime","product","topic"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,8,63.843,"internet","leave"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,7,71.057,"internet","leave"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,6,72.671,"internet","leave"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,7,74.693,"internet","leave"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,8,75.977,"internet","leave"
"259980642","Alvis","Kulas","(698)","Beer-Sheva","Female",32,9,77.768,"internet","leave"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,10,79.485,"internet","leave"
"830010923","Gracie","Sporer","936-284-3977","Ashdod","Female",109,70,69.695,"internet","join"
"461840528","Angelo","Bruen","630.430.2221","Haifa","Female",77,90,75.087,"internet","join"
"259980642","Alvis","Kulas","(698)","Beer-Sheva","Female",32,100,76.457,"internet","join"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,100,78.005,"internet","join"
"461840528","Angelo","Bruen","630.430.2221","Haifa","Female",77,100,78.872,"internet","join"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,100,80.205,"internet","join"
"259980642","Alvis","Kulas","(698)","Beer-Sheva","Female",32,100,82.661,"internet","join"
"989107918","Teresa","White","1-643-643-0254","Nahariya","Male",49,46,13.419,"cables","leave"
"880382316","Onie","Davis","1-406-344-8341","Ashdod","Female",44,44,17.537,"internet","leave"
